video_id,image_id,frame_gap,student_map,student_map50,oracle_map,oracle_map50,map_gap,map50_gap,cosine_s5_prev,l1_s5_prev,max_abs_diff_s5_prev,smoothed_max_diff_s5_prev,topk_mean_diff_s5_prev,cosine_s5_anchor,l1_s5_anchor,max_abs_diff_s5_anchor,smoothed_max_diff_s5_anchor,topk_mean_diff_s5_anchor,oracle_mean_score,student_mean_score,oracle_num_dets,student_num_dets
MOT17-02-FRCNN,2,1,0.5405188330116523,0.8434520342790581,0.565159277130779,0.7984750398116734,0.024640444119126692,-0.04497699446738468,nan,nan,nan,nan,nan,0.9834102392196655,0.07361195236444473,0.26177793741226196,0.21466504037380219,0.21577464044094086,0.1947358399629593,0.3099435865879059,300,300
MOT17-02-FRCNN,4,1,0.5050491817350541,0.7764776477647765,0.5866419106150098,0.8373862111485874,0.08159272887995572,0.0609085633838109,0.9748870134353638,0.09327936172485352,0.2704285979270935,0.22924065589904785,0.23983879387378693,0.98488450050354,0.07587384432554245,0.19506824016571045,0.1799800992012024,0.17791806161403656,0.19581246376037598,0.31114354729652405,300,300
MOT17-02-FRCNN,6,1,0.5037259735409738,0.8619861986198618,0.5323873487793357,0.8656464204112719,0.028661375238361875,0.003660221791410123,0.9720252156257629,0.09957095235586166,0.3976117670536041,0.2434571534395218,0.2772621214389801,0.9840533137321472,0.07700476795434952,0.2515609860420227,0.16455143690109253,0.18747495114803314,0.20232713222503662,0.3094826936721802,300,300
MOT17-02-FRCNN,8,1,0.5376517485728034,0.8713520008804029,0.5613810207416327,0.8561331133113311,0.023729272168829252,-0.015218887569071748,0.9783198833465576,0.0883617177605629,0.2853398323059082,0.1827489584684372,0.20495299994945526,0.9885467290878296,0.06687985360622406,0.15139326453208923,0.12314575165510178,0.13035403192043304,0.2017705887556076,0.32461145520210266,300,300
MOT17-02-FRCNN,10,1,0.545246331278938,0.897805280528053,0.5462340921046088,0.8789889606721291,0.0009877608256708692,-0.018816319855923913,0.973237156867981,0.10343283414840698,0.24102863669395447,0.19088976085186005,0.20573940873146057,0.9818463921546936,0.08617483824491501,0.1956891417503357,0.1630234271287918,0.17251364886760712,0.1922997087240219,0.32065993547439575,300,300
MOT17-02-FRCNN,12,1,0.484879885683788,0.8439493651181329,0.5222096411143113,0.8128316545398102,0.03732975543052336,-0.031117710578322688,0.9735797643661499,0.09620584547519684,0.2752589285373688,0.20974908769130707,0.23344047367572784,0.9836879968643188,0.07604417204856873,0.200015589594841,0.1686045527458191,0.18185336887836456,0.1820053607225418,0.30032187700271606,300,300
MOT17-02-FRCNN,14,1,0.48248698811699886,0.8138090480012353,0.5540611514368664,0.832154161204407,0.07157416331986755,0.01834511320317167,0.963436484336853,0.1131211519241333,0.33903640508651733,0.281185507774353,0.3047548234462738,0.9779787063598633,0.09005794674158096,0.2345396876335144,0.1935315728187561,0.21341152489185333,0.17580384016036987,0.3104341924190521,300,300
MOT17-02-FRCNN,16,1,0.494486198108069,0.8135169554107113,0.5330200586518056,0.8368349456133525,0.03853386054373659,0.023317990202641137,0.968429446220398,0.09967126697301865,0.35835498571395874,0.30512377619743347,0.3136114180088043,0.9824578762054443,0.07783471047878265,0.2434423863887787,0.2025308758020401,0.20591609179973602,0.19260752201080322,0.3122636377811432,300,300
MOT17-02-FRCNN,18,1,0.5164108028727282,0.8574964639321075,0.5567748775277097,0.8720313006620314,0.040364074654981486,0.014534836729923839,0.9793512225151062,0.08318078517913818,0.26546013355255127,0.23242518305778503,0.23324279487133026,0.9893359541893005,0.0575382374227047,0.21618345379829407,0.18388117849826813,0.1808936446905136,0.1990346759557724,0.3201565444469452,300,300
MOT17-02-FRCNN,20,1,0.46418440911466474,0.7992102781706741,0.5165384726614766,0.7950406746360256,0.052354063546811824,-0.004169603534648569,0.9783844947814941,0.084518201649189,0.28468674421310425,0.24482335150241852,0.24564139544963837,0.9879716634750366,0.06408309936523438,0.19775983691215515,0.14981643855571747,0.1519274115562439,0.21080398559570312,0.3213624954223633,300,300
MOT17-02-FRCNN,22,1,0.4742006132489061,0.8640892291344293,0.5430314522963698,0.8110191164117099,0.06883083904746373,-0.05307011272271944,0.9756779670715332,0.09308343380689621,0.25815069675445557,0.21359282732009888,0.2288355678319931,0.9841728210449219,0.07755196839570999,0.1938406378030777,0.16761071979999542,0.16917960345745087,0.20885919034481049,0.33461007475852966,300,300
MOT17-02-FRCNN,24,1,0.5230512907830125,0.8364593324320989,0.5647837762411676,0.8322042730588849,0.04173248545815511,-0.004255059373214021,0.9737730622291565,0.09153267741203308,0.319813072681427,0.2717175781726837,0.27243903279304504,0.9870423078536987,0.0673261508345604,0.18014414608478546,0.1543893665075302,0.16530366241931915,0.2160758078098297,0.3326857089996338,300,300
MOT17-02-FRCNN,26,1,0.5447967565776033,0.8747177349313877,0.5604179670488908,0.8533051834595224,0.015621210471287506,-0.02141255147186527,0.9732598066329956,0.0968087837100029,0.2424987107515335,0.2115330994129181,0.22977040708065033,0.9860618114471436,0.06987670063972473,0.18155190348625183,0.14298422634601593,0.1591096669435501,0.20162725448608398,0.3258183002471924,300,300
MOT17-02-FRCNN,28,1,0.47137346939642705,0.8907296979697972,0.45626114107320576,0.784231803917302,-0.015112328323221291,-0.10649789405249521,0.9768154621124268,0.08867517113685608,0.2828969955444336,0.21265262365341187,0.23283158242702484,0.9864184856414795,0.0698743537068367,0.18117764592170715,0.15993638336658478,0.172051340341568,0.20279891788959503,0.3238043785095215,300,300
MOT17-02-FRCNN,30,1,0.42260427183715504,0.7821785093188706,0.4314219719214525,0.7756399674403737,0.008817700084297442,-0.006538541878496895,0.9749552607536316,0.09020401537418365,0.3972378075122833,0.32800614833831787,0.3250791132450104,0.9857126474380493,0.06988954544067383,0.2740393877029419,0.23258978128433228,0.22732499241828918,0.20143333077430725,0.3175272047519684,300,300
MOT17-02-FRCNN,32,1,0.3860832440739068,0.7409111613891419,0.4530494167209475,0.8337431314897882,0.06696617264704069,0.09283197010064625,0.9715062379837036,0.1044059619307518,0.30062633752822876,0.25548604130744934,0.2607092261314392,0.9811239242553711,0.08659539371728897,0.20566509664058685,0.18436524271965027,0.18656034767627716,0.21946334838867188,0.31986647844314575,300,300
MOT17-02-FRCNN,34,1,0.40053941094754264,0.8012508271404205,0.4306366484549751,0.8427535376138,0.030097237507432484,0.0415027104733795,0.9789021611213684,0.08532644063234329,0.25410228967666626,0.21768343448638916,0.22651930153369904,0.9860777258872986,0.07222765684127808,0.1948477029800415,0.153972327709198,0.16901730000972748,0.22533297538757324,0.3277378976345062,300,300
MOT17-02-FRCNN,36,1,0.4025673739314949,0.8103437672959842,0.43180624392372896,0.7852533297374942,0.029238869992234073,-0.025090437558490053,0.973677396774292,0.10044275224208832,0.23778685927391052,0.19861261546611786,0.2241922914981842,0.9864588379859924,0.07320721447467804,0.19072991609573364,0.13825811445713043,0.15582214295864105,0.2195386290550232,0.32598111033439636,300,300
MOT17-02-FRCNN,38,1,0.38897231703837437,0.7652932988894953,0.4285860894918555,0.8488052700341577,0.03961377245348113,0.08351197114466247,0.9808403849601746,0.08137733489274979,0.2649648189544678,0.20541979372501373,0.22854521870613098,0.9902034997940063,0.05859728157520294,0.1675795316696167,0.13161338865756989,0.14241789281368256,0.22257915139198303,0.3230774998664856,300,300
MOT17-02-FRCNN,40,1,0.3990268272812495,0.8167626064932074,0.4385495583560871,0.8369370962192745,0.039522731074837614,0.020174489726067057,0.982588529586792,0.07987996190786362,0.20924001932144165,0.16698628664016724,0.19449833035469055,0.9876202940940857,0.06909221410751343,0.21200285851955414,0.14508505165576935,0.16262303292751312,0.219134122133255,0.31729692220687866,300,300
MOT17-02-FRCNN,42,1,0.40427552090915386,0.7798129812981299,0.41934147277920225,0.8292581884238844,0.015065951870048389,0.04944520712575451,0.9742310047149658,0.09749432653188705,0.3650420308113098,0.25823840498924255,0.30200648307800293,0.9846790432929993,0.07647108286619186,0.27585798501968384,0.20025090873241425,0.2126387357711792,0.2193603515625,0.3293980062007904,300,300
MOT17-02-FRCNN,44,1,0.4226199416122241,0.8397823225464498,0.4470068038639676,0.8207333180797073,0.02438686225174347,-0.019049004466742514,0.9807243347167969,0.0843791663646698,0.26593756675720215,0.22537782788276672,0.22638487815856934,0.9862722754478455,0.07407908141613007,0.18096241354942322,0.1578018069267273,0.1611114740371704,0.2234572470188141,0.32332536578178406,300,300
MOT17-02-FRCNN,46,1,0.39823054870790253,0.8903547557636916,0.45079802631413074,0.8107641533384107,0.05256747760622821,-0.07959060242528093,0.9820795059204102,0.07537862658500671,0.2546718716621399,0.2319251149892807,0.23262687027454376,0.9907755851745605,0.05196766182780266,0.18627488613128662,0.17075994610786438,0.17531919479370117,0.21182319521903992,0.3192998170852661,300,300
MOT17-02-FRCNN,48,1,0.44206779439644134,0.8207920792079209,0.4551076385674136,0.7762561970482763,0.013039844170972259,-0.044535882159644546,0.9725767970085144,0.10120396316051483,0.31310930848121643,0.2517207860946655,0.26030826568603516,0.9899834394454956,0.05700656399130821,0.17905503511428833,0.1549910455942154,0.15857063233852386,0.2113429605960846,0.32385551929473877,300,300
MOT17-02-FRCNN,50,1,0.4318849117929878,0.8318188340795091,0.427093133603337,0.7637080284115368,-0.004791778189650819,-0.06811080566797223,0.981803834438324,0.07509725540876389,0.3093698024749756,0.25291478633880615,0.25525742769241333,0.9900953769683838,0.05627994239330292,0.20492932200431824,0.17396444082260132,0.18106161057949066,0.21015790104866028,0.31659501791000366,300,300
