record_index,batch_index,sample_index,video_id,key_image_id,non_key_image_id,frame_gap,cosine_s5_prev_non_key,l1_s5_prev_non_key,max_abs_diff_s5_prev,smoothed_max_diff_s5_prev,topk_mean_diff_s5_prev,cosine_s5_latest_key,l1_s5_latest_key,max_abs_diff_s5_latest_key,smoothed_max_diff_s5_latest_key,topk_mean_diff_s5_latest_key,student_mean_score,oracle_mean_score,oracle_minus_student_mean_score,student_det_count,oracle_det_count,oracle_minus_student_det_count,avg_map_gap,avg_map50_gap,student_map,student_map50,oracle_map,oracle_map50
0,0,0,MOT17-02-FRCNN,1,2,1,nan,nan,nan,nan,nan,0.9834102392196655,0.07361195236444473,0.26177793741226196,0.21466504037380219,0.21577464044094086,0.3040488362312317,0.1947358399629593,-0.1093129962682724,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
1,1,0,MOT17-02-FRCNN,1,3,2,0.9876230955123901,0.06493619829416275,0.18758268654346466,0.14760905504226685,0.15487053990364075,0.9743502140045166,0.09134950488805771,0.2878431975841522,0.22770339250564575,0.2468336671590805,0.3040488362312317,0.19806335866451263,-0.10598547756671906,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
2,2,0,MOT17-02-FRCNN,1,4,3,0.98488450050354,0.07587384432554245,0.19506824016571045,0.1799800992012024,0.17791806161403656,0.9644653797149658,0.11090777814388275,0.3412623405456543,0.2811911702156067,0.2991611659526825,0.3040488362312317,0.19581246376037598,-0.10823637247085571,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
3,3,0,MOT17-02-FRCNN,1,5,4,0.9854058027267456,0.07251039147377014,0.20020759105682373,0.1591520458459854,0.1802157163619995,0.952595055103302,0.12629377841949463,0.3800868093967438,0.3320420980453491,0.3558245301246643,0.3040488362312317,0.2009207308292389,-0.1031281054019928,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
4,4,0,MOT17-02-FRCNN,1,6,5,0.9840533137321472,0.07700476795434952,0.2515609860420227,0.16455143690109253,0.18747495114803314,0.9422531127929688,0.13928258419036865,0.4208967685699463,0.34893494844436646,0.3911359906196594,0.3040488362312317,0.20232713222503662,-0.10172170400619507,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
5,5,0,MOT17-02-FRCNN,1,7,6,0.9866759777069092,0.06998039782047272,0.20403599739074707,0.13956816494464874,0.15597136318683624,0.9339269399642944,0.14813129603862762,0.4988870620727539,0.38122764229774475,0.4405108094215393,0.3040488362312317,0.20369653403759003,-0.10035230219364166,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
6,6,0,MOT17-02-FRCNN,1,8,7,0.9885467290878296,0.06687985360622406,0.15139326453208923,0.12314575165510178,0.13035403192043304,0.9256908893585205,0.15817852318286896,0.5321313142776489,0.4148087501525879,0.47143688797950745,0.3040488362312317,0.2017705887556076,-0.10227824747562408,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
7,7,0,MOT17-02-FRCNN,1,9,8,0.9848418831825256,0.07949791848659515,0.19126559793949127,0.14559191465377808,0.15974727272987366,0.9216915369033813,0.16119810938835144,0.5380570888519287,0.42679259181022644,0.4859047830104828,0.3040488362312317,0.2049461007118225,-0.09910273551940918,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
8,8,0,MOT17-02-FRCNN,1,10,9,0.9818463921546936,0.08617483824491501,0.1956891417503357,0.1630234271287918,0.17251364886760712,0.9108734130859375,0.17232277989387512,0.5816661715507507,0.44797542691230774,0.5144287943840027,0.3040488362312317,0.1922997087240219,-0.11174912750720978,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
9,9,0,MOT17-02-FRCNN,1,11,10,0.9847598671913147,0.07632167637348175,0.18684887886047363,0.15886135399341583,0.16395114362239838,0.9044476747512817,0.17931628227233887,0.613600492477417,0.462181031703949,0.5300441384315491,0.3040488362312317,0.18187573552131653,-0.12217310070991516,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
10,11,0,MOT17-02-FRCNN,12,13,1,0.9700024127960205,0.09920582920312881,0.32654160261154175,0.2419048398733139,0.2722778022289276,0.9833983182907104,0.07444152981042862,0.25350216031074524,0.20501606166362762,0.20635366439819336,0.28974810242652893,0.18173223733901978,-0.10801586508750916,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
11,12,0,MOT17-02-FRCNN,12,14,2,0.9779787063598633,0.09005794674158096,0.2345396876335144,0.1935315728187561,0.21341152489185333,0.963436484336853,0.1131211519241333,0.33903640508651733,0.281185507774353,0.3047548234462738,0.28974810242652893,0.17580384016036987,-0.11394426226615906,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
12,13,0,MOT17-02-FRCNN,12,15,3,0.9839872121810913,0.06944434344768524,0.2577463388442993,0.22291967272758484,0.22846460342407227,0.951166570186615,0.12711046636104584,0.457086443901062,0.3773100972175598,0.3993739187717438,0.28974810242652893,0.18137548863887787,-0.10837261378765106,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
13,14,0,MOT17-02-FRCNN,12,16,4,0.9824578762054443,0.07783471047878265,0.2434423863887787,0.2025308758020401,0.20591609179973602,0.9403395652770996,0.1377236694097519,0.508550763130188,0.4124513268470764,0.4422367513179779,0.28974810242652893,0.19260752201080322,-0.09714058041572571,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
14,15,0,MOT17-02-FRCNN,12,17,5,0.9873781204223633,0.06585077196359634,0.18540404736995697,0.16676415503025055,0.1683407872915268,0.9327065944671631,0.1468915194272995,0.5697052478790283,0.43791085481643677,0.47761431336402893,0.28974810242652893,0.19313004612922668,-0.09661805629730225,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
15,16,0,MOT17-02-FRCNN,12,18,6,0.9893359541893005,0.0575382374227047,0.21618345379829407,0.18388117849826813,0.1808936446905136,0.9277801513671875,0.15299157798290253,0.5507204532623291,0.44744035601615906,0.4808882176876068,0.28974810242652893,0.1990346759557724,-0.09071342647075653,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
16,17,0,MOT17-02-FRCNN,12,19,7,0.9864446520805359,0.06663920730352402,0.22633862495422363,0.19154955446720123,0.19180546700954437,0.9201442003250122,0.16042384505271912,0.5640366673469543,0.46407637000083923,0.497341126203537,0.28974810242652893,0.20448346436023712,-0.08526463806629181,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
17,18,0,MOT17-02-FRCNN,12,20,8,0.9879716634750366,0.06408309936523438,0.19775983691215515,0.14981643855571747,0.1519274115562439,0.9172326326370239,0.16345523297786713,0.5645337104797363,0.4671455919742584,0.505571186542511,0.28974810242652893,0.21080398559570312,-0.0789441168308258,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
18,19,0,MOT17-02-FRCNN,12,21,9,0.9872927665710449,0.06837508082389832,0.18481551110744476,0.15536896884441376,0.16010601818561554,0.9104499816894531,0.16879357397556305,0.6155708432197571,0.5014747977256775,0.5352907180786133,0.28974810242652893,0.2096397429704666,-0.08010835945606232,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
19,20,0,MOT17-02-FRCNN,12,22,10,0.9841728210449219,0.07755196839570999,0.1938406378030777,0.16761071979999542,0.16917960345745087,0.9065359830856323,0.17139436304569244,0.6350284814834595,0.5196358561515808,0.5582521557807922,0.28974810242652893,0.20885919034481049,-0.08088891208171844,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
20,22,0,MOT17-02-FRCNN,23,24,1,0.9737730622291565,0.09153267741203308,0.319813072681427,0.2717175781726837,0.27243903279304504,0.9870423078536987,0.0673261508345604,0.18014414608478546,0.1543893665075302,0.16530366241931915,0.3165389597415924,0.2160758078098297,-0.1004631519317627,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
21,23,0,MOT17-02-FRCNN,23,25,2,0.9847162961959839,0.07434646785259247,0.18718847632408142,0.1547345072031021,0.16574420034885406,0.9736130237579346,0.09381818771362305,0.2848631739616394,0.24252229928970337,0.2557624280452728,0.3165389597415924,0.19901837408542633,-0.11752058565616608,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
22,24,0,MOT17-02-FRCNN,23,26,3,0.9860618114471436,0.06987670063972473,0.18155190348625183,0.14298422634601593,0.1591096669435501,0.9627845287322998,0.11158054322004318,0.3561365008354187,0.3024958372116089,0.3188328146934509,0.3165389597415924,0.20162725448608398,-0.11491170525550842,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
23,25,0,MOT17-02-FRCNN,23,27,4,0.9887494444847107,0.06282581388950348,0.17646804451942444,0.15080316364765167,0.16066525876522064,0.9557417631149292,0.12033401429653168,0.4079626798629761,0.3384706377983093,0.3559280335903168,0.3165389597415924,0.2059493213891983,-0.1105896383523941,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
24,26,0,MOT17-02-FRCNN,23,28,5,0.9864184856414795,0.0698743537068367,0.18117764592170715,0.15993638336658478,0.172051340341568,0.948115348815918,0.13050822913646698,0.4333663880825043,0.34931665658950806,0.37732115387916565,0.3165389597415924,0.20279891788959503,-0.11374004185199738,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
25,27,0,MOT17-02-FRCNN,23,29,6,0.9864873886108398,0.0688578337430954,0.22705627977848053,0.19376617670059204,0.1939062774181366,0.9399997591972351,0.1402728259563446,0.46907684206962585,0.3887329399585724,0.41889819502830505,0.3165389597415924,0.2034730166196823,-0.1130659431219101,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
26,28,0,MOT17-02-FRCNN,23,30,7,0.9857126474380493,0.06988954544067383,0.2740393877029419,0.23258978128433228,0.22732499241828918,0.9330654144287109,0.14548099040985107,0.576587438583374,0.432946115732193,0.45603805780410767,0.3165389597415924,0.20143333077430725,-0.11510562896728516,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
27,29,0,MOT17-02-FRCNN,23,31,8,0.9829658269882202,0.07881703972816467,0.2502998411655426,0.22147147357463837,0.22435365617275238,0.9261949062347412,0.15463291108608246,0.5049339532852173,0.4069507420063019,0.46350476145744324,0.3165389597415924,0.21431447565555573,-0.10222448408603668,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
28,30,0,MOT17-02-FRCNN,23,32,9,0.9811239242553711,0.08659539371728897,0.20566509664058685,0.18436524271965027,0.18656034767627716,0.9190737009048462,0.16312247514724731,0.5711767673492432,0.44108137488365173,0.48908576369285583,0.3165389597415924,0.21946334838867188,-0.09707561135292053,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
29,31,0,MOT17-02-FRCNN,23,33,10,0.9861539006233215,0.07296037673950195,0.1879327893257141,0.1510874181985855,0.15211831033229828,0.9120916128158569,0.17087318003177643,0.5827432870864868,0.45716729760169983,0.5042502284049988,0.3165389597415924,0.23533198237419128,-0.08120697736740112,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
30,33,0,MOT17-02-FRCNN,34,35,1,0.9741737842559814,0.09835206717252731,0.3010353744029999,0.23968437314033508,0.25355181097984314,0.9829627275466919,0.08225259929895401,0.19813966751098633,0.16691038012504578,0.18307052552700043,0.3114200532436371,0.22549372911453247,-0.08592632412910461,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
31,34,0,MOT17-02-FRCNN,34,36,2,0.9864588379859924,0.07320721447467804,0.19072991609573364,0.13825811445713043,0.15582214295864105,0.973677396774292,0.10044275224208832,0.23778685927391052,0.19861261546611786,0.2241922914981842,0.3114200532436371,0.2195386290550232,-0.09188142418861389,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
32,35,0,MOT17-02-FRCNN,34,37,3,0.9862055778503418,0.0716598704457283,0.20022138953208923,0.1635771542787552,0.17942337691783905,0.9640693664550781,0.11454309523105621,0.3434318006038666,0.26448774337768555,0.29875001311302185,0.3114200532436371,0.22066590189933777,-0.09075415134429932,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
33,36,0,MOT17-02-FRCNN,34,38,4,0.9902034997940063,0.05859728157520294,0.1675795316696167,0.13161338865756989,0.14241789281368256,0.9593479633331299,0.11892184615135193,0.36906683444976807,0.2980949878692627,0.3287353217601776,0.3114200532436371,0.22257915139198303,-0.08884090185165405,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
34,37,0,MOT17-02-FRCNN,34,39,5,0.9916239976882935,0.05442264303565025,0.18154506385326385,0.13644592463970184,0.1520657241344452,0.9523298740386963,0.12767095863819122,0.40647822618484497,0.3263634145259857,0.3618970513343811,0.3114200532436371,0.21560239791870117,-0.09581765532493591,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
35,38,0,MOT17-02-FRCNN,34,40,6,0.9876202940940857,0.06909221410751343,0.21200285851955414,0.14508505165576935,0.16262303292751312,0.9462019205093384,0.1342664510011673,0.42295485734939575,0.36731088161468506,0.39037373661994934,0.3114200532436371,0.219134122133255,-0.09228593111038208,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
36,39,0,MOT17-02-FRCNN,34,41,7,0.9858698844909668,0.07533231377601624,0.24589625000953674,0.17336015403270721,0.19101008772850037,0.9398936033248901,0.14184489846229553,0.5000656843185425,0.38914233446121216,0.43272122740745544,0.3114200532436371,0.22216522693634033,-0.08925482630729675,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
37,40,0,MOT17-02-FRCNN,34,42,8,0.9846790432929993,0.07647108286619186,0.27585798501968384,0.20025090873241425,0.2126387357711792,0.9348123073577881,0.1469005048274994,0.5523754358291626,0.42562034726142883,0.48616233468055725,0.3114200532436371,0.2193603515625,-0.09205970168113708,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
38,41,0,MOT17-02-FRCNN,34,43,9,0.9920397400856018,0.05263128504157066,0.16381226480007172,0.1374356895685196,0.13966001570224762,0.9309393167495728,0.1508960872888565,0.5843013525009155,0.42771485447883606,0.5075873136520386,0.3114200532436371,0.22188793122768402,-0.08953212201595306,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
39,42,0,MOT17-02-FRCNN,34,44,10,0.9862722754478455,0.07407908141613007,0.18096241354942322,0.1578018069267273,0.1611114740371704,0.9270612001419067,0.15386946499347687,0.6298319101333618,0.45688241720199585,0.5309125781059265,0.3114200532436371,0.2234572470188141,-0.087962806224823,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
40,44,0,MOT17-02-FRCNN,45,46,1,0.9820795059204102,0.07537862658500671,0.2546718716621399,0.2319251149892807,0.23262687027454376,0.9907755851745605,0.05196766182780266,0.18627488613128662,0.17075994610786438,0.17531919479370117,0.312879741191864,0.21182319521903992,-0.1010565459728241,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
41,45,0,MOT17-02-FRCNN,45,47,2,0.9793638586997986,0.09161510318517685,0.22969135642051697,0.1948448270559311,0.2035633772611618,0.9730875492095947,0.1012524738907814,0.297416627407074,0.25741487741470337,0.2579970955848694,0.312879741191864,0.21613796055316925,-0.09674178063869476,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
42,46,0,MOT17-02-FRCNN,45,48,3,0.9899834394454956,0.05700656399130821,0.17905503511428833,0.1549910455942154,0.15857063233852386,0.966140627861023,0.10972775518894196,0.345534086227417,0.30496230721473694,0.31307417154312134,0.312879741191864,0.2113429605960846,-0.10153678059577942,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
43,47,0,MOT17-02-FRCNN,45,49,4,0.9880803227424622,0.06320636719465256,0.20564153790473938,0.18133535981178284,0.1851062774658203,0.9619190096855164,0.11619944125413895,0.33266985416412354,0.29530277848243713,0.3070993423461914,0.312879741191864,0.21597091853618622,-0.0969088226556778,300,300,0,0.2018833393314005,0.1747181414927631,0.3086876674341928,0.6476471628881517,0.5105710067655933,0.8223653043809148
